ArticleNumber;Category;Gender;Description
1317042;Armbanden;Heren;Zilveren herenarmband koningsschakel
1329254;Kettingen;Dames;Zilverkleurige byoux ketting sterrenbeeld tweeling
1377798;Kettingen;Dames;Zilveren choker dubbel rhodiumplated
1309037;Diversen;Dames;Zilveren enkelband blackplated
1288550;Trouwringen;Dames;14K rose gouden trouwring dia Pioenroos line H98R
1214140;Oorbellen;Dames;Zilveren oorbellen bol goldplated 2mm
1333431;Oorbellen;Dames;Zilveren oorbellen graveer bar 13*7mm
1331675;Ringen;Dames;Zilveren ring gold 2delig triangle/disc
1278902;Kettingen;Dames;Zilverkleurige byoux ketting multi parels
1286066;Trouwringen;Heren;9 K gele trouwring Orchid Heren H41G
1215109;Kettingen;Dames;Zilveren ketting & hanger mat/glans met zirkonia
1178884;Oorbellen;Dames;Zilveren oorbellen bolletjes
1436919;Horloges;Dames;Icon of Sweden horloge met een bruine leren band
1396845;Oorbellen;Dames;Zilverkleurige byoux statement oorbellen groot
1393002;Armbanden;Dames;Stalen armband leer rosekleur light peach kristal
1252582;Armbanden;Dames;Stalen chunks armband grijs
1304046;Ringen;Dames;Zilveren ring rhodiumplated hart
1259562;Kettingen;Dames;9 Karaat ketting slangen schakel
1208247;Kettingen;Kinderen;Zilveren ketting &hanger pinguin
1216531;Kettingen;Dames;Zilveren ketting met hanger zirkonia
1318017;Horloges;Dames;Pulsar horloge PH8183X1
1345532;Trouwringen;Heren;14 Karaat geelgouden trouwring Delphine Heren H60
1391455;Horloges;Kinderen;Little Miss Fabulous horloge met een stalen band
1405678;Oorbellen;Dames;Zilverkleurige byoux oorbellen parel
1159030;Hangers;Dames;Zilveren  letterhanger T
1193007;Oorbellen;Kinderen;Stalen kinderoorbellen roze kristal
1391010;Trouwringen;Dames;9K rose trouwring Dames 4mm Jasmijn
1218555;Oorbellen;Dames;Red Carpet byoux oorbellen zilverkleurig
1359679;Horloges;Heren;Q&Q horloge VY24J404Y
1412199;Ringen;Dames;Buckley London roseplated ring met kristal medium
1315073;Oorbellen;Kinderen;Zilveren kinderoorbellen kikker groen kristal
